doctor_appointment_id,doctor_licence_id,appointment_id
1,A842-CFFH-352K-523U,1
2,B193-XZPW-662L-112A,2
3,C884-TYUI-889M-221B,3
4,D552-QWER-111K-982C,4
5,E335-ASDF-764H-662D,5
6,F773-HJKL-942D-554E,6
7,G832-ZXCV-111P-773F,7
8,H551-BNMK-442T-222G,8
9,J112-DFER-123Q-112H,9
10,K773-JHGT-876L-337I,10
11,L992-POIU-234R-998J,11
12,M112-LKJH-555Y-667K,12
13,N332-MNBV-332A-554L,13
14,O991-JKLL-117B-662M,14
15,P662-HYTR-339C-771N,15
16,Q553-YTRE-123D-889O,16
17,R882-ASDF-999E-337P,17
18,S339-QAZX-118F-775Q,18
19,T882-WSXC-222G-991R,19
20,U771-EDCV-882H-554S,20
21,A842-CFFH-352K-523U,21
22,B193-XZPW-662L-112A,22
23,C884-TYUI-889M-221B,23
24,D552-QWER-111K-982C,24
25,E335-ASDF-764H-662D,25
26,F773-HJKL-942D-554E,26
27,G832-ZXCV-111P-773F,27
28,H551-BNMK-442T-222G,28
29,J112-DFER-123Q-112H,29
30,K773-JHGT-876L-337I,30
31,L992-POIU-234R-998J,31
32,M112-LKJH-555Y-667K,32
33,N332-MNBV-332A-554L,33
34,O991-JKLL-117B-662M,34
35,P662-HYTR-339C-771N,35
36,Q553-YTRE-123D-889O,36
37,R882-ASDF-999E-337P,37
38,S339-QAZX-118F-775Q,38
39,T882-WSXC-222G-991R,39
40,U771-EDCV-882H-554S,40
41,A842-CFFH-352K-523U,41
42,B193-XZPW-662L-112A,42
43,C884-TYUI-889M-221B,43
44,D552-QWER-111K-982C,44
45,E335-ASDF-764H-662D,45
46,F773-HJKL-942D-554E,46
47,G832-ZXCV-111P-773F,47
48,H551-BNMK-442T-222G,48
49,J112-DFER-123Q-112H,49
50,K773-JHGT-876L-337I,50
51,L992-POIU-234R-998J,51
52,M112-LKJH-555Y-667K,52
53,N332-MNBV-332A-554L,53
54,O991-JKLL-117B-662M,54
55,P662-HYTR-339C-771N,55
56,Q553-YTRE-123D-889O,56
57,R882-ASDF-999E-337P,57
58,S339-QAZX-118F-775Q,58
59,T882-WSXC-222G-991R,59
60,U771-EDCV-882H-554S,60
61,A842-CFFH-352K-523U,61
62,B193-XZPW-662L-112A,62
63,C884-TYUI-889M-221B,63
64,D552-QWER-111K-982C,64
65,E335-ASDF-764H-662D,65
66,F773-HJKL-942D-554E,66
67,G832-ZXCV-111P-773F,67
68,H551-BNMK-442T-222G,68
69,J112-DFER-123Q-112H,69
70,K773-JHGT-876L-337I,70
71,L992-POIU-234R-998J,71
72,M112-LKJH-555Y-667K,72
73,N332-MNBV-332A-554L,73
74,O991-JKLL-117B-662M,74
75,P662-HYTR-339C-771N,75
76,Q553-YTRE-123D-889O,76
77,R882-ASDF-999E-337P,77
78,S339-QAZX-118F-775Q,78
79,T882-WSXC-222G-991R,79
80,U771-EDCV-882H-554S,80
81,A842-CFFH-352K-523U,81
82,B193-XZPW-662L-112A,82
83,C884-TYUI-889M-221B,83
84,D552-QWER-111K-982C,84
85,E335-ASDF-764H-662D,85
86,F773-HJKL-942D-554E,86
