licence_id,shift_start,shift_length_mins
Q553-YTRE-123D-889O,2025-06-01 09:00:00,420
R882-ASDF-999E-337P,2025-06-01 12:00:00,420
B193-XZPW-662L-112A,2025-06-01 13:00:00,360
E335-ASDF-764H-662D,2025-06-01 13:00:00,360
G832-ZXCV-111P-773F,2025-06-01 13:00:00,480
C884-TYUI-889M-221B,2025-06-01 20:00:00,239
D552-QWER-111K-982C,2025-06-01 22:00:00,119
C884-TYUI-889M-221B,2025-06-02 00:00:00,121
D552-QWER-111K-982C,2025-06-02 00:00:00,241
A842-CFFH-352K-523U,2025-06-02 09:00:00,480
B193-XZPW-662L-112A,2025-06-02 09:00:00,420
S339-QAZX-118F-775Q,2025-06-02 09:00:00,480
G832-ZXCV-111P-773F,2025-06-02 13:00:00,480
E335-ASDF-764H-662D,2025-06-02 18:00:00,359
U771-EDCV-882H-554S,2025-06-02 18:00:00,359
M112-LKJH-555Y-667K,2025-06-02 20:00:00,239
E335-ASDF-764H-662D,2025-06-03 00:00:00,121
M112-LKJH-555Y-667K,2025-06-03 00:00:00,121
U771-EDCV-882H-554S,2025-06-03 00:00:00,1
H551-BNMK-442T-222G,2025-06-03 08:00:00,480
T882-WSXC-222G-991R,2025-06-03 08:00:00,420
K773-JHGT-876L-337I,2025-06-03 09:00:00,360
A842-CFFH-352K-523U,2025-06-03 12:00:00,420
P662-HYTR-339C-771N,2025-06-03 12:00:00,480
D552-QWER-111K-982C,2025-06-03 13:00:00,360
F773-HJKL-942D-554E,2025-06-03 13:00:00,480
L992-POIU-234R-998J,2025-06-03 13:00:00,420
S339-QAZX-118F-775Q,2025-06-03 13:00:00,480
O991-JKLL-117B-662M,2025-06-03 18:00:00,359
C884-TYUI-889M-221B,2025-06-03 22:00:00,119
M112-LKJH-555Y-667K,2025-06-03 22:00:00,119
C884-TYUI-889M-221B,2025-06-04 00:00:00,241
M112-LKJH-555Y-667K,2025-06-04 00:00:00,301
O991-JKLL-117B-662M,2025-06-04 00:00:00,1
G832-ZXCV-111P-773F,2025-06-04 08:00:00,420
N332-MNBV-332A-554L,2025-06-04 09:00:00,420
S339-QAZX-118F-775Q,2025-06-04 09:00:00,480
R882-ASDF-999E-337P,2025-06-04 12:00:00,420
L992-POIU-234R-998J,2025-06-04 20:00:00,239
O991-JKLL-117B-662M,2025-06-04 22:00:00,119
L992-POIU-234R-998J,2025-06-05 00:00:00,121
O991-JKLL-117B-662M,2025-06-05 00:00:00,301
B193-XZPW-662L-112A,2025-06-05 08:00:00,420
T882-WSXC-222G-991R,2025-06-05 08:00:00,480
K773-JHGT-876L-337I,2025-06-05 09:00:00,420
N332-MNBV-332A-554L,2025-06-05 09:00:00,480
P662-HYTR-339C-771N,2025-06-05 13:00:00,420
J112-DFER-123Q-112H,2025-06-05 18:00:00,359
L992-POIU-234R-998J,2025-06-05 18:00:00,359
Q553-YTRE-123D-889O,2025-06-05 20:00:00,239
R882-ASDF-999E-337P,2025-06-05 20:00:00,239
D552-QWER-111K-982C,2025-06-05 22:00:00,119
D552-QWER-111K-982C,2025-06-06 00:00:00,361
J112-DFER-123Q-112H,2025-06-06 00:00:00,121
L992-POIU-234R-998J,2025-06-06 00:00:00,61
Q553-YTRE-123D-889O,2025-06-06 00:00:00,181
R882-ASDF-999E-337P,2025-06-06 00:00:00,121
F773-HJKL-942D-554E,2025-06-06 08:00:00,360
M112-LKJH-555Y-667K,2025-06-06 08:00:00,360
