PHIN_id,first_name,last_name,address,phone_number,email_address
873215838,Wei E,Smith,"6572 Main St, Winnipeg, MB R4V 7D8",4671527241,wei.smith87@example.com
528467176,Li Z,Le,"9455 Osborne St, Winnipeg, MB R9D 6T3",1248187793,li.le178@example.com
597420419,Ahmed O,Petrov,"5744 McPhillips St, Winnipeg, MB R8D 7Q2",4153864705,ahmed.petrov200@example.com
928150643,Emma H,Hall,"3106 Broadway, Winnipeg, MB R8Z 9N3",7981156802,emma.hall305@example.com
133475604,Zara S,Kim,"8884 Portage Ave, Winnipeg, MB R5N 0D7",8610033388,zara.kim67@example.com
310995961,Irina V,Das,"5286 Osborne St, Winnipeg, MB R7A 8Q1",2149049756,irina.das515@example.com
371171837,Li L,Rahman,"5764 Main St, Winnipeg, MB R8V 6X1",7509201688,li.rahman614@example.com
504399407,Isabella F,Choi,"8289 Main St, Winnipeg, MB R7J 3I5",6486260138,isabella.choi743@example.com
210786801,Amelia O,Smith,"6422 Pembina Hwy, Winnipeg, MB R2A 7J9",7879050432,amelia.smith82@example.com
965893901,Yusuf Y,Jung,"8010 Corydon Ave, Winnipeg, MB R7G 3J3",1413077319,yusuf.jung502@example.com
101714809,Francesca ,Nguyen,"6194 Portage Ave, Winnipeg, MB R9J 7Y2",4437616410,francesca.nguyen655@example.co
931317161,Marco W,Kim,"7570 Henderson Hwy, Winnipeg, MB R4S 1U3",1423097295,marco.kim577@example.com
240577357,Sven P,Singh,"5146 Portage Ave, Winnipeg, MB R1L 4W6",9482871243,sven.singh748@example.com
389203300,Fatima P,Lopez,"7524 Portage Ave, Winnipeg, MB R6J 5S7",3077712996,fatima.lopez385@example.com
664886817,Elena E,Hall,"8786 Osborne St, Winnipeg, MB R8C 7Q5",1207338546,elena.hall918@example.com
220825713,Emma Y,Gupta,"7015 Corydon Ave, Winnipeg, MB R4M 0U3",8293732438,emma.gupta595@example.com
433597745,Priya L,Le,"3232 Corydon Ave, Winnipeg, MB R6X 6H8",4734515053,priya.le881@example.com
523018192,Kim Y,Vo,"9918 Main St, Winnipeg, MB R7Q 7S3",1371433001,kim.vo841@example.com
509513217,Zhang T,Brown,"9162 Osborne St, Winnipeg, MB R7A 9W3",4255560273,zhang.brown905@example.com
235833086,Nguyen H,Singh,"671 Pembina Hwy, Winnipeg, MB R8K 9F4",1770158899,nguyen.singh897@example.com
132064012,Priya Q,Choi,"454 St Mary Ave, Winnipeg, MB R2P 5Q4",8189563511,priya.choi678@example.com
921113780,Marco M,Garcia,"1814 St Mary Ave, Winnipeg, MB R1I 0K8",8260262110,marco.garcia233@example.com
241335047,Aisha J,Vo,"3749 St Mary Ave, Winnipeg, MB R5D 1V0",6331411967,aisha.vo811@example.com
433254559,Hiroshi R,Popov,"5228 Regent Ave, Winnipeg, MB R4Q 5N3",8549004821,hiroshi.popov998@example.com
311165561,Sofia K,Popov,"871 Pembina Hwy, Winnipeg, MB R2M 1P6",3856052785,sofia.popov106@example.com
425857047,Hassan E,Taylor,"1508 Osborne St, Winnipeg, MB R5U 3L9",3692209055,hassan.taylor612@example.com
711105910,Ethan W,Pham,"3183 Main St, Winnipeg, MB R8Y 5C7",2820403924,ethan.pham755@example.com
615083585,Carlos S,Jung,"6065 Corydon Ave, Winnipeg, MB R3E 9W0",9730001024,carlos.jung6@example.com
630287643,Luis V,Jung,"909 Pembina Hwy, Winnipeg, MB R1V 1P4",9266867063,luis.jung793@example.com
841206961,Marco Q,Garcia,"3937 St Mary Ave, Winnipeg, MB R8T 6Y7",5933292940,marco.garcia285@example.com
520588569,Noah H,Lee,"4970 Corydon Ave, Winnipeg, MB R4A 4U2",2102609028,noah.lee204@example.com
